,lisa_I,lisa_p,lisa_quad,lisa_class,lisa_sig,lisa_label
6822,0.6673344434487606,0.029,1,1,True,HH (Hot Spot)
6823,4.853099697312289,0.001,1,1,True,HH (Hot Spot)
6824,0.6483051068145055,0.029,1,1,True,HH (Hot Spot)
6825,0.05283733419852937,0.188,1,0,False,No Significativo
6826,0.15656394179929747,0.163,3,0,False,No Significativo
6827,0.7171179892280051,0.033,3,3,True,LH (Low surrounded by High)
6828,0.9046282020743623,0.026,1,1,True,HH (Hot Spot)
6829,1.4785400106087134,0.01,3,3,True,LH (Low surrounded by High)
6830,0.7102968921440406,0.033,3,3,True,LH (Low surrounded by High)
6831,0.4334849791597144,0.061,3,0,False,No Significativo
6832,0.0532712584033083,0.238,3,0,False,No Significativo
6833,0.1270009839899978,0.148,1,0,False,No Significativo
6834,-0.010290510445495353,0.344,2,0,False,No Significativo
6835,1.4092564202294129,0.01,3,3,True,LH (Low surrounded by High)
6836,0.09332261322146618,0.356,3,0,False,No Significativo
6837,1.5160802408138163,0.001,1,1,True,HH (Hot Spot)
6838,0.5506769852257835,0.11,3,0,False,No Significativo
6839,0.17716393095189623,0.155,3,0,False,No Significativo
6840,-0.06380310898305923,0.242,2,0,False,No Significativo
6841,0.0745555141052187,0.34,3,0,False,No Significativo
6842,2.3973663811252552,0.001,1,1,True,HH (Hot Spot)
6843,2.6484619747343716,0.001,3,3,True,LH (Low surrounded by High)
6844,-0.0357353944733086,0.194,4,0,False,No Significativo
6845,2.8774099877905965,0.001,1,1,True,HH (Hot Spot)
6846,0.8942043339041965,0.006,1,1,True,HH (Hot Spot)
6847,3.1024843219377463,0.002,3,3,True,LH (Low surrounded by High)
6848,0.5264458302018071,0.045,1,1,True,HH (Hot Spot)
6849,-0.07206220478762568,0.442,2,0,False,No Significativo
6850,0.6180724584195019,0.046,1,1,True,HH (Hot Spot)
6851,1.3613903605176998,0.001,1,1,True,HH (Hot Spot)
6852,0.6037562139924246,0.071,1,0,False,No Significativo
6853,0.07042798955109157,0.269,3,0,False,No Significativo
6854,0.06594488274540822,0.338,1,0,False,No Significativo
6855,-0.05102078542776193,0.41,4,0,False,No Significativo
6856,1.222395457849421,0.028,3,3,True,LH (Low surrounded by High)
6857,0.750091928060696,0.055,1,0,False,No Significativo
6858,2.10918594987849,0.005,3,3,True,LH (Low surrounded by High)
6859,0.12976296223281514,0.122,1,0,False,No Significativo
6860,0.41950445297570876,0.095,3,0,False,No Significativo
6861,0.6013215438067049,0.017,1,1,True,HH (Hot Spot)
6862,2.6241245215679143,0.001,3,3,True,LH (Low surrounded by High)
6863,-0.0020972239877550683,0.487,2,0,False,No Significativo
6864,3.1288501653540224,0.001,3,3,True,LH (Low surrounded by High)
6865,0.05783722692133492,0.386,1,0,False,No Significativo
6866,0.18715171210693557,0.304,1,0,False,No Significativo
6867,0.7952739810039429,0.014,3,3,True,LH (Low surrounded by High)
6868,0.20165363638311237,0.155,1,0,False,No Significativo
6869,3.506106028931245,0.001,3,3,True,LH (Low surrounded by High)
6870,0.5037823081949685,0.006,1,1,True,HH (Hot Spot)
6871,2.6959585224831506,0.003,3,3,True,LH (Low surrounded by High)
6872,2.1587465162006922,0.001,1,1,True,HH (Hot Spot)
6873,0.9521454520800599,0.008,1,1,True,HH (Hot Spot)
6874,0.4307961210476751,0.072,3,0,False,No Significativo
6875,0.2658652124625113,0.047,1,1,True,HH (Hot Spot)
6876,0.5312700613952382,0.019,1,1,True,HH (Hot Spot)
6877,-0.06069057059636693,0.271,4,0,False,No Significativo
6878,-0.0184137974217016,0.347,2,0,False,No Significativo
6879,0.573149326395408,0.107,1,0,False,No Significativo
6880,0.8211373521075443,0.001,1,1,True,HH (Hot Spot)
6881,0.6564724791114774,0.066,1,0,False,No Significativo
6882,-0.009322315604791638,0.425,4,0,False,No Significativo
6883,3.132365706723543,0.001,3,3,True,LH (Low surrounded by High)
6884,3.8959796474412594,0.001,3,3,True,LH (Low surrounded by High)
6885,2.9096357120377054,0.001,3,3,True,LH (Low surrounded by High)
6886,0.006477879823470841,0.336,3,0,False,No Significativo
6887,0.0010087895099081484,0.462,3,0,False,No Significativo
6888,0.2247366008070832,0.073,1,0,False,No Significativo
6889,0.02146874250734755,0.377,1,0,False,No Significativo
6890,-0.05135666528173303,0.229,4,0,False,No Significativo
6891,0.5361517031989818,0.04,3,3,True,LH (Low surrounded by High)
6892,-0.027389638714739106,0.423,2,0,False,No Significativo
6893,1.783147551110133,0.003,1,1,True,HH (Hot Spot)
6894,0.28868528023495427,0.203,1,0,False,No Significativo
6895,4.05503792819812,0.001,3,3,True,LH (Low surrounded by High)
6896,2.618208303486992,0.002,3,3,True,LH (Low surrounded by High)
6897,0.4396875830211486,0.04,3,3,True,LH (Low surrounded by High)
6898,0.34801714778783704,0.143,1,0,False,No Significativo
6899,0.44685575798006266,0.075,1,0,False,No Significativo
6900,0.25770065766801203,0.269,1,0,False,No Significativo
6901,1.116647806862818,0.01,3,3,True,LH (Low surrounded by High)
6902,0.002027162958311242,0.435,3,0,False,No Significativo
6903,0.591458462281046,0.047,1,1,True,HH (Hot Spot)
6904,0.819257482221477,0.048,3,3,True,LH (Low surrounded by High)
6905,-0.2526557908947879,0.028,2,2,True,LL (Cold Spot)
6906,2.415879044479823,0.001,3,3,True,LH (Low surrounded by High)
6907,0.18704522246014854,0.296,1,0,False,No Significativo
6908,0.27217190772854716,0.109,1,0,False,No Significativo
6909,0.3472951375198229,0.152,1,0,False,No Significativo
6910,-0.001932755864053646,0.35,2,0,False,No Significativo
6911,2.5414558968760175,0.001,3,3,True,LH (Low surrounded by High)
6912,0.9908316783864166,0.005,1,1,True,HH (Hot Spot)
6913,0.8568952477471815,0.046,1,1,True,HH (Hot Spot)
6914,-0.0052660919913407565,0.261,2,0,False,No Significativo
6915,-0.004154298056350175,0.426,2,0,False,No Significativo
6916,0.18418649375584184,0.165,1,0,False,No Significativo
6917,0.19775821311577965,0.099,3,0,False,No Significativo
6918,1.3620440795602708,0.006,1,1,True,HH (Hot Spot)
6919,-0.15871083579471718,0.26,2,0,False,No Significativo
6920,0.0760372336499813,0.361,3,0,False,No Significativo
6921,0.4406824775275428,0.047,1,1,True,HH (Hot Spot)
6922,2.7137225359691652,0.001,3,3,True,LH (Low surrounded by High)
6923,0.32297376565723496,0.311,1,0,False,No Significativo
6924,3.986654396757495,0.001,3,3,True,LH (Low surrounded by High)
